sep=;
"Product Name";"Average Price";"Hyper Price";"Hyper Deviation (%)";"Kns Price";"Kns Deviation (%)";"Xcom Price";"Xcom Deviation (%)";"Regard Price";"Regard Deviation (%)";"Citi Price";"Citi Deviation (%)"
"DEXP H610M-HVS/DX";"=""4742""";;;"=""4618""";"=""-2.61%""";"=""4866""";"=""2.61%""";;;;
"MSI MPG B550 GAMING PLUS";"=""11116""";;;"=""11032""";"=""-0.76%""";"=""11586""";"=""4.23%""";;;"=""10730""";"=""-3.47%"""
"ASUS ROG Strix Z790-E Gaming WiFi";"=""64998""";"=""84400""";"=""29.85%""";;;"=""45596""";"=""-29.85%""";;;;
"ASRock H610M-HDV";"=""5732.33""";;;"=""4801""";"=""-16.25%""";"=""7206""";"=""25.71%""";;;"=""5190""";"=""-9.46%"""
"ASUS TUF Gaming B650-Plus WiFi";"=""21186.67""";;;"=""20524""";"=""-3.13%""";"=""21426""";"=""1.13%""";;;"=""21610""";"=""2%"""
"ASUS Prime B550-Plus";"=""10694.67""";;;"=""9896""";"=""-7.47%""";"=""10528""";"=""-1.56%""";;;"=""11660""";"=""9.03%"""
"ASUS Prime H510M-K";"=""5499""";;;"=""5498""";"=""-0.02%""";"=""5500""";"=""0.02%""";;;;
"ASRock B550 Steel Legend";"=""15499""";;;;;"=""15499""";"=""0%""";;;;
"GIGABYTE B650M AORUS ELITE AX";"=""23761.4""";"=""37300""";"=""56.98%""";"=""19608""";"=""-17.48%""";"=""21019""";"=""-11.54%""";"=""21640""";"=""-8.93%""";"=""19240""";"=""-19.03%"""
"GIGABYTE H470M H";"=""6634""";;;"=""6634""";"=""0%""";;;;;;
"MSI B650 GAMING PLUS WIFI";"=""18832""";"=""23400""";"=""24.26%""";"=""17116""";"=""-9.11%""";"=""17522""";"=""-6.96%""";;;"=""17290""";"=""-8.19%"""
"MSI B850 GAMING PLUS WIFI";"=""23800.33""";"=""27900""";"=""17.23%""";"=""21110""";"=""-11.3%""";"=""22391""";"=""-5.92%""";;;;
"MSI H510M-A PRO";;;;;;;;;;;
"MSI B760 GAMING PLUS WIFI";"=""14288""";"=""16800""";"=""17.58%""";"=""12974""";"=""-9.2%""";;;;;"=""13090""";"=""-8.38%"""
"MSI PRO B760-P II";"=""14333.75""";"=""22800""";"=""59.07%""";"=""10885""";"=""-24.06%""";"=""10950""";"=""-23.61%""";"=""12700""";"=""-11.4%""";;
"MSI PRO Z790-A MAX WIFI";"=""24966.67""";"=""31000""";"=""24.17%""";"=""21477""";"=""-13.98%""";"=""22423""";"=""-10.19%""";;;;
"MSI PRO Z790-P WIFI";"=""18142""";;;"=""18142""";"=""0%""";;;;;;
"MSI MAG B650 TOMAHAWK WIFI";"=""21392""";"=""26300""";"=""22.94%""";"=""19608""";"=""-8.34%""";;;"=""19990""";"=""-6.55%""";"=""19670""";"=""-8.05%"""
"MSI MAG X870 TOMAHAWK WIFI";"=""41399""";"=""50000""";"=""20.78%""";"=""36247""";"=""-12.44%""";;;;;"=""37950""";"=""-8.33%"""
"MSI PRO B650-A WIFI";"=""17116""";;;"=""17116""";"=""0%""";;;;;;
"MSI X870 GAMING PLUS WIFI";"=""22931.5""";;;"=""22833""";"=""-0.43%""";;;;;"=""23030""";"=""0.43%"""
